budgetline,fmsnumber,managingagency,projectid,description,costdescription,citycost,noncitycost,plancommdate
C-75,072 202,072,C75STDRN,"Replace Storm Water Mains and Outfalls",CONS,"",4500,0,06/18
C-75,072 202,072,C75STDRN,"Replace Storm Water Mains and Outfalls",IFSP,"",450,0,06/18
C-75,072 202,072,C75STDRN,"Replace Storm Water Mains and Outfalls",CTGY,"",450,0,06/18
C-75,072 202,072,C75STEAM,"Upgrade Steam Lines",DSGN,"",500,0,07/16
C-75,072 202,072,C75STEAM,"Upgrade Steam Lines",IFDS,"",50,0,07/16
C-75,072 202,072,C75STEAM,"Upgrade Steam Lines",CONS,"",4500,0,06/18
C-75,072 202,072,C75STEAM,"Upgrade Steam Lines",IFSP,"",450,0,06/18
C-75,072 202,072,C75STEAM,"Upgrade Steam Lines",CTGY,"",450,0,06/18
C-75,072 202,072,C75STORGE,"Hazardous Waste Storage Trailers",CONS,"",723,0,06/17
C-75,072 202,072,C75STORGE,"Hazardous Waste Storage Trailers",CTGY,"",72,0,06/17
C-75,072 202,072,C75STORGE,"Hazardous Waste Storage Trailers",IFSP,"",72,0,06/17
C-75,072 202,072,C75STORGE,"Hazardous Waste Storage Trailers",DSGN,"",80,0,07/16
C-75,072 202,072,C75STORGE,"Hazardous Waste Storage Trailers",IFDS,"",8,0,07/16
C-75,072 202,072,C75SUPFC,"Exterior Reconstruction for Support Facilities",DSGN,"",500,0,12/16
C-75,072 202,072,C75SUPFC,"Exterior Reconstruction for Support Facilities",CONS,"",1500,0,06/17
C-75,072 202,072,C75SUPFC,"Exterior Reconstruction for Support Facilities",IFDS,"",50,0,07/16
C-75,072 202,072,C75SUPFC,"Exterior Reconstruction for Support Facilities",IFSP,"",150,0,06/17
C-75,072 202,072,C75SVCBC,"VCBC SHOWER REPLACEMENTS AND UPGRADES",CONS,"",6215,0,06/17
C-75,072 202,072,C75SVCBC,"VCBC SHOWER REPLACEMENTS AND UPGRADES",IFSP,"",50,0,07/16
C-75,072 202,072,C75SVCBC,"VCBC SHOWER REPLACEMENTS AND UPGRADES",IFDS,"",34,0,07/16
C-75,072 202,072,C75SWITCH,"REPLACEMENT OF ELECTRICAL AUTOMATIC TRANSFER SWITCHES",DSGN,"",500,0,05/17
C-75,072 202,072,C75SWITCH,"REPLACEMENT OF ELECTRICAL AUTOMATIC TRANSFER SWITCHES",IFDS,"",50,0,05/17
C-75,072 202,072,C75SWITCH,"REPLACEMENT OF ELECTRICAL AUTOMATIC TRANSFER SWITCHES",CTGY,"",50,0,05/18
C-75,072 202,072,C75SWITCH,"REPLACEMENT OF ELECTRICAL AUTOMATIC TRANSFER SWITCHES",CONS,"",5000,0,06/18
C-75,072 202,072,C75SWITCH,"REPLACEMENT OF ELECTRICAL AUTOMATIC TRANSFER SWITCHES",IFSP,"",500,0,06/18
C-75,072 202,072,C75SWITCH,"REPLACEMENT OF ELECTRICAL AUTOMATIC TRANSFER SWITCHES",CTGY,"",500,0,06/18
C-75,072 202,072,C75TEMP,"REPLACE CHILLERS-AUTO TEMP CTRLS DEPT-WIDE",CONS,"",211,0,06/17
C-75,072 202,072,C75TRANAC,"AIR CONDITION TRANSPORTATION GARAGE PARTS ROOM",CONS,"",375,0,06/17
C-75,072 202,072,C75TRANAC,"AIR CONDITION TRANSPORTATION GARAGE PARTS ROOM",IFSP,"",36,0,06/17
C-75,072 202,072,C75TRANAC,"AIR CONDITION TRANSPORTATION GARAGE PARTS ROOM",CTGY,"",36,0,06/17
C-75,072 202,072,C75TURB,"REPLACEMENT OF CO-GENERATION PLANT TURBINES",CONS,"",6000,0,06/19
C-75,072 202,072,C75TURB,"REPLACEMENT OF CO-GENERATION PLANT TURBINES",IFSP,"",60,0,06/19
C-75,072 202,072,C75TURB,"REPLACEMENT OF CO-GENERATION PLANT TURBINES",CTGY,"",60,0,06/19
C-75,072 202,072,C75VCATC,"AHU and ATC Replacement at VCBC",IFSP,"",60,0,07/16
C-75,072 202,072,C75VCATC,"AHU and ATC Replacement at VCBC",CONS,"",1130,0,07/16
C-75,072 202,072,C75VCATC,"AHU and ATC Replacement at VCBC",CTGY,"",20,0,07/16
C-75,072 202,072,C75VCBCGC,"VCBC Gang Cell Door Release",CONS,"",2320,0,06/17
C-75,072 202,072,C75VCBCGC,"VCBC Gang Cell Door Release",IFSP,"",60,0,07/16
C-75,072 202,072,C75VCBC2,"VCBC Barge and Bulkhead Rehabilitation",CONS,"",1630,0,06/17
C-75,072 202,072,C75VCBC2,"VCBC Barge and Bulkhead Rehabilitation",IFSP,"",142,0,07/16
C-75,072 202,072,C75VCBC2,"VCBC Barge and Bulkhead Rehabilitation",IFDS,"",9,0,07/16
C-75,072 202,072,C75VCROOF,"VCBC ROOF REPLACEMENT",DSGN,"",240,0,06/17
C-75,072 202,072,C75VCROOF,"VCBC ROOF REPLACEMENT",CONS,"",2160,0,06/18
C-75,072 202,072,C75VLAUND,"VCBC Laundry System Installation",CONS,"",1516,0,06/17
C-75,072 202,072,C75VLAUND,"VCBC Laundry System Installation",IFSP,"",40,0,06/17
C-75,072 202,072,C75VLAUND,"VCBC Laundry System Installation",CTGY,"",40,0,06/17
C-75,072 202,072,C75VRISER,"Replacement of Chilled Water Risers at VCBC",CONS,"",776,0,05/17
C-75,072 202,072,C75VRISER,"Replacement of Chilled Water Risers at VCBC",IFSP,"",78,0,05/17
C-75,072 202,072,C75WASHR,"Purchase and Install Two 900lb Washing Machines",CONS,"",610,0,06/17
C-75,072 202,072,C75WASHR,"Purchase and Install Two 900lb Washing Machines",CTGY,"",61,0,06/17
C-75,072 202,072,C75WASHR,"Purchase and Install Two 900lb Washing Machines",IFSP,"",61,0,06/17
C-75,072 202,072,C75WATCH,"Watch Tour System",EQFN,"",473,0,06/17
C-75,072 202,072,C75WATCH,"Watch Tour System",CTGY,"",30,0,06/17
C-75,072 202,072,C75WINDOW,"WINDOW REPLACEMENT AT MDC FY11 & VAR. FACILITIES IN OUTYRS",IFSP,"",150,0,07/16
C-75,072 202,072,C75WINDOW,"WINDOW REPLACEMENT AT MDC FY11 & VAR. FACILITIES IN OUTYRS",IFSP,"",325,0,07/16
C-75,072 202,072,C75WINDOW,"WINDOW REPLACEMENT AT MDC FY11 & VAR. FACILITIES IN OUTYRS",IFSP,"",75,0,07/17
C-75,072 202,072,C75WINDOW,"WINDOW REPLACEMENT AT MDC FY11 & VAR. FACILITIES IN OUTYRS",CONS,"",750,0,07/17
C-75,072 202,072,C75WINDOW,"WINDOW REPLACEMENT AT MDC FY11 & VAR. FACILITIES IN OUTYRS",CONS,"",4750,0,07/17
C-75,072 202,072,C75WINDOW,"WINDOW REPLACEMENT AT MDC FY11 & VAR. FACILITIES IN OUTYRS",CONS,"",750,0,07/18
C-75,072 202,072,C75WINDOW,"WINDOW REPLACEMENT AT MDC FY11 & VAR. FACILITIES IN OUTYRS",CONS,"",2750,0,07/19
C-75,072 202,072,C75WINDOW,"WINDOW REPLACEMENT AT MDC FY11 & VAR. FACILITIES IN OUTYRS",CONS,"",2500,0,07/20
C-75,072 202,072,C75WTRMN,"Replace Water Mains on Rikers Island",DSGN,"",500,0,07/16
C-75,072 202,072,C75WTRMN,"Replace Water Mains on Rikers Island",IFDS,"",50,0,07/16
C-75,072 202,072,C75WTRMN,"Replace Water Mains on Rikers Island",CONS,"",4725,0,06/18
C-75,072 202,072,C75WTRMN,"Replace Water Mains on Rikers Island",IFSP,"",450,0,06/18
C-75,072 202,072,C75WTRMN,"Replace Water Mains on Rikers Island",CTGY,"",450,0,06/18
C-75,072 202,072,SANDAMKC,"Hurricane Sandy - AMKC Roof Reconstruction",CONS,"",140,1260,09/16
C-75,072 202,072,SANDAMKC,"Hurricane Sandy - AMKC Roof Reconstruction",DSGN,"",107,0,06/17
C-75,072 202,072,SANDAMKC,"Hurricane Sandy - AMKC Roof Reconstruction",CONS,"",368,2641,12/16
C-75,072 202,072,SANDCONDT,"Hurricane Sandy Underground Conduits at VCBC",CONS,"",1219,10977,07/16
C-75,072 202,072,SANDHART,"Hurricane Sandy-harts island Reconstruct from storm damage",IFSP,"",20,0,07/16
C-75,072 202,072,SANDHART,"Hurricane Sandy-harts island Reconstruct from storm damage",IFSP,"",10,0,07/16
C-75,072 202,072,SANDHART,"Hurricane Sandy-harts island Reconstruct from storm damage",CONS,"",1209,10879,07/16
C-75,072 202,072,SANDHART,"Hurricane Sandy-harts island Reconstruct from storm damage",IFSP,"",53,0,07/16
C-75,072 202,072,SANDRNDC,"Hurricane Sandy - RNDC Roof Reconstruction",CONS,"",241,2167,06/17
C-75,072 202,072,SANDRNDC,"Hurricane Sandy - RNDC Roof Reconstruction",IFSP,"",24,0,07/16
C-75,072 202,072,SANDSHORE,"Hurricane Sandy- RI NShoreline Reconstruct from Storm Damag",CONS,"",4692,45622,06/17
C-75,072 202,072,SANDSHORE,"Hurricane Sandy- RI NShoreline Reconstruct from Storm Damag",IFDS,"",15,0,07/16
C-75,072 202,072,SANDSHORE,"Hurricane Sandy- RI NShoreline Reconstruct from Storm Damag",DSGN,"",9,68,01/17
C-75,072 202,072,SANDTRLR,"Hurricane Sandy-Relocation of RI Trailers - Storm Damage",CONS,"",221,0,06/17
C-75,072 202,072,SANDTRLR,"Hurricane Sandy-Relocation of RI Trailers - Storm Damage",CTGY,"",22,60,06/17
C-75,072 202,072,SANDTRLR,"Hurricane Sandy-Relocation of RI Trailers - Storm Damage",IFSP,"",100,0,05/17
C-75,072 202,072,SANDVCBC,"Hurricane Sandy - VCBC Reconstruction Due To Storm Damage",CONS,"",264,2376,06/17
C-75,072 202,072,SANDVCBC,"Hurricane Sandy - VCBC Reconstruction Due To Storm Damage",IFSP,"",20,0,07/16
C-75,072 202,072,SANDVCBC,"Hurricane Sandy - VCBC Reconstruction Due To Storm Damage",IFSP,"",20,0,07/16
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",IFDS,"",102,0,06/17
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",IFSP,"",385,0,06/17
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",CONS,"",627,0,07/16
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",DSGN,"",1,0,07/16
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",CONS,"",12,0,07/16
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",CONS,"",77,0,12/16
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",SVCS,"",3,0,09/16
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",CONS,"",48,0,12/16
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",CONS,"",1800,0,12/16
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",DSGN,"",201,0,07/16
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",DSGN,"",162,0,06/17
C-75,072 202,850,C75-FCAD,"FACADE RECONSTRUCTION AT EMTC, NIC,QDC, MDC, and GRVC",CONS,"",140,0,06/17
C-75,072 202,850,C75AMKCHV,"AMKC BUILDINGS 1-5 HVAC/HOT WATER RECONSTRUCTION",CONS,"",1597,0,12/16
C-75,072 202,850,C75NICSHW,"NIC SHOWER RECONSTRUCTION",CONS,"",5,0,07/16
C-75,072 202,850,C75NICSHW,"NIC SHOWER RECONSTRUCTION",CONS,"",5,0,08/16
C-75,072 202,850,C75NICSHW,"NIC SHOWER RECONSTRUCTION",CONS,"",2187,0,07/16
C-75,072 202,856,CENTCELL,"100 CENTRE ST- FLRS 1-3,5 & 12 FOR DOC",CONS,"",95,0,06/17
C-75,072 202,856,C75HEADQ,"RELOCATION OF DOC HEADQUARTERS",EQFN,"COMMUNICATIONS EQUIPMENT",539,0,06/17
C-110,072 218,072,C110-FAC,"IT & TELECOM EQUIPMENT REPLACEMENT",EQFN,"",1500,0,06/25
C-110,072 218,072,C110-FAC,"IT & TELECOM EQUIPMENT REPLACEMENT",EQFN,"",1503,0,07/16
C-110,072 218,072,C110-FAC,"IT & TELECOM EQUIPMENT REPLACEMENT",EQFN,"",1500,0,06/19
C-110,072 218,072,C110-FAC,"IT & TELECOM EQUIPMENT REPLACEMENT",EQFN,"",3000,0,06/21
C-110,072 218,072,C110-FAC,"IT & TELECOM EQUIPMENT REPLACEMENT",EQFN,"",1500,0,06/27
C-110,072 218,072,C110-NETW,"RIKERS ISLAND ADMIN TELEPHONE SYSTEM",EQFN,"",500,0,07/19
C-110,072 218,072,C110-NETW,"RIKERS ISLAND ADMIN TELEPHONE SYSTEM",EQFN,"",8282,0,07/16
C-111,072 222,072,C111-LR4,"C111- LAUNDRY REFURBISHMENT- VARIOUS FACILITIES",EQFN,"",1000,0,07/18
C-112,072 223,072,C112LEASE,"Purchase of Trucks for SSD",EQVH,"",554,0,06/17
C-112,072 223,072,C112VOUTY,"DOC: VEHICLE REPLACEMENT",EQVH,"",4692,0,07/16
C-112,072 223,072,C112VOUTY,"DOC: VEHICLE REPLACEMENT",EQVH,"",3995,0,07/17
C-112,072 223,072,C112VOUTY,"DOC: VEHICLE REPLACEMENT",EQVH,"",3716,0,07/18
C-112,072 223,072,C112VOUTY,"DOC: VEHICLE REPLACEMENT",EQVH,"",4277,0,01/20
C-112,072 223,072,C112VOUTY,"DOC: VEHICLE REPLACEMENT",EQVH,"",3761,0,01/21
C-114,072 228,072,C114ADOL,"ADOLESCENT FACILITY",DSGN,"",17000,0,06/17
C-114,072 228,072,C114ADOL,"ADOLESCENT FACILITY",CONS,"",153000,0,06/18
C-114,072 228,072,C114CAPT1,"MODULAR & SPRUNG SKIN TAKEDOWN/REPLACEMENT PROG--OUTYEARS",CONS,"",1000,0,07/17
C-114,072 228,072,C114CAPT1,"MODULAR & SPRUNG SKIN TAKEDOWN/REPLACEMENT PROG--OUTYEARS",IFSP,"",40,0,07/17
C-114,072 228,072,C114CAPT1,"MODULAR & SPRUNG SKIN TAKEDOWN/REPLACEMENT PROG--OUTYEARS",CTGY,"",40,0,07/17
C-114,072 228,072,C114COGEN,"Rikers Island Co-Generation Power Plant-Construction",CONS,"",1923,0,06/17
C-114,072 228,072,C114COGEN,"Rikers Island Co-Generation Power Plant-Construction",IFSP,"",22,0,07/16
C-114,072 228,072,C114GMCLR,"New 400 Seat School at GMDC - North Wing",DSGN,"",3000,0,07/16
C-114,072 228,072,C114GMCLR,"New 400 Seat School at GMDC - North Wing",IFDS,"",300,0,07/16
C-114,072 228,072,C114GMCLR,"New 400 Seat School at GMDC - North Wing",CONS,"",32000,0,07/18
C-114,072 228,072,C114GMCLR,"New 400 Seat School at GMDC - North Wing",IFSP,"",800,0,07/18
C-114,072 228,072,C114GMCLR,"New 400 Seat School at GMDC - North Wing",CTGY,"",3200,0,07/18
C-114,072 228,072,C114GMDPR,"GMDC Reno for Classrooms/Progmatic - Young Adult Inmates",DSGN,"",500,0,06/17
C-114,072 228,072,C114GMDPR,"GMDC Reno for Classrooms/Progmatic - Young Adult Inmates",IFDS,"",50,0,06/17
C-114,072 228,072,C114GMDPR,"GMDC Reno for Classrooms/Progmatic - Young Adult Inmates",CONS,"",4500,0,06/18
C-114,072 228,072,C114GRCLR,"New 400 Seat School at GRVC - North Wing",DSGN,"",3000,0,07/16
C-114,072 228,072,C114GRCLR,"New 400 Seat School at GRVC - North Wing",IFDS,"",300,0,07/16
C-114,072 228,072,C114GRCLR,"New 400 Seat School at GRVC - North Wing",CONS,"",32000,0,07/18
C-114,072 228,072,C114GRCLR,"New 400 Seat School at GRVC - North Wing",IFSP,"",150,0,07/18
C-114,072 228,072,C114GRCLR,"New 400 Seat School at GRVC - North Wing",CTGY,"",3200,0,07/18
C-114,072 228,072,C114GRVC2,"300 Cell Addition At GRVC - Replace 500 Bed Wood Modular",DSGN,"",7000,0,06/17
C-114,072 228,072,C114GRVC2,"300 Cell Addition At GRVC - Replace 500 Bed Wood Modular",IFDS,"",700,0,06/17
C-114,072 228,072,C114GRVC2,"300 Cell Addition At GRVC - Replace 500 Bed Wood Modular",CONS,"",65000,0,06/19
C-114,072 228,072,C114GRVC2,"300 Cell Addition At GRVC - Replace 500 Bed Wood Modular",IFSP,"",900,0,06/19
C-114,072 228,072,C114GRVC2,"300 Cell Addition At GRVC - Replace 500 Bed Wood Modular",CTGY,"",6500,0,06/19
C-114,072 228,072,C114GRVPR,"GRVC Reno for Classrooms/Progmatic - High Classif. Inmate",DSGN,"",800,0,06/17
C-114,072 228,072,C114GRVPR,"GRVC Reno for Classrooms/Progmatic - High Classif. Inmate",IFDS,"",80,0,06/17
C-114,072 228,072,C114GRVPR,"GRVC Reno for Classrooms/Progmatic - High Classif. Inmate",CONS,"",7200,0,06/18
C-114,072 228,072,C114GRVPR,"GRVC Reno for Classrooms/Progmatic - High Classif. Inmate",IFSP,"",70,0,06/18
C-114,072 228,072,C114GRVPR,"GRVC Reno for Classrooms/Progmatic - High Classif. Inmate",CTGY,"",70,0,06/18
C-114,072 228,072,C114OBCPR,"OBCC Reno for Classrooms/Progmatic - Adult Inmates",DSGN,"",600,0,06/17
C-114,072 228,072,C114OBCPR,"OBCC Reno for Classrooms/Progmatic - Adult Inmates",IFDS,"",60,0,06/17
C-114,072 228,072,C114OBCPR,"OBCC Reno for Classrooms/Progmatic - Adult Inmates",CONS,"",6400,0,06/18
C-114,072 228,072,C114OBCPR,"OBCC Reno for Classrooms/Progmatic - Adult Inmates",IFSP,"",70,0,06/18
C-114,072 228,072,C114OBCPR,"OBCC Reno for Classrooms/Progmatic - Adult Inmates",CTGY,"",70,0,06/18
C-114,072 228,072,C114RNDC1,"Construct of 400 Cell Addition at RNDC/Replace 800 Bed Mod",DSGN,"",9000,0,06/17
C-114,072 228,072,C114RNDC1,"Construct of 400 Cell Addition at RNDC/Replace 800 Bed Mod",IFDS,"",900,0,06/17
C-114,072 228,072,C114RNDC1,"Construct of 400 Cell Addition at RNDC/Replace 800 Bed Mod",CONS,"",87000,0,06/19
C-114,072 228,072,C114RNDC1,"Construct of 400 Cell Addition at RNDC/Replace 800 Bed Mod",IFDS,"",1000,0,06/19
C-114,072 228,072,C114RNDC1,"Construct of 400 Cell Addition at RNDC/Replace 800 Bed Mod",CTGY,"",8700,0,06/19
C-114,072 228,072,C114WEST,"WEST FACILITY SPRUNG CENTRAL INTAKE CONVERSION",CONS,"",3732,0,06/17
C-114,072 228,072,C114WEST,"WEST FACILITY SPRUNG CENTRAL INTAKE CONVERSION",IFSP,"",365,0,06/17
C-114,072 228,072,C114WEST,"WEST FACILITY SPRUNG CENTRAL INTAKE CONVERSION",IFSP,"",30,0,06/17
C-114,072 228,072,C114WEST,"WEST FACILITY SPRUNG CENTRAL INTAKE CONVERSION",CTGY,"",30,0,06/17
C-114,072 228,850,C114NEWRI,"NEW RIKERS ISLAND FACILITY",DSGN,"",3019,0,12/16
C-114,072 228,850,C114NEWRI,"NEW RIKERS ISLAND FACILITY",DSGN,"",80234,0,12/16
C-114,072 228,850,C114NEWRI,"NEW RIKERS ISLAND FACILITY",CNSP,"",9266,0,12/16
C-114,072 228,850,C114NEWRI,"NEW RIKERS ISLAND FACILITY",CONS,"",398354,0,06/18
C-114,072 228,850,C114NEWRI,"NEW RIKERS ISLAND FACILITY",CONS,"",9589,0,12/16
C-114,072 228,850,C114NEWRI,"NEW RIKERS ISLAND FACILITY",CONS,"",385,0,12/16
C-114,072 228,850,C114NEWRI,"NEW RIKERS ISLAND FACILITY",IFSP,"",250,0,06/19
C-114,072 228,850,C114VHCIF,"VISIT HOUSE",IFDS,"",120,0,06/17
C-117,072 213,072,C117APPLI,"SOFTWARE APPLICATION UPGRADES",EQFN,"",1937,0,06/17
C-117,072 213,072,C117APPLI,"SOFTWARE APPLICATION UPGRADES",EQFN,"",1500,0,07/18
C-117,072 213,072,C117APPLI,"SOFTWARE APPLICATION UPGRADES",EQFN,"",3000,0,07/20
C-117,072 213,072,C117APPLI,"SOFTWARE APPLICATION UPGRADES",EQFN,"",1500,0,06/24
C-117,072 213,072,C117APPLI,"SOFTWARE APPLICATION UPGRADES",EQFN,"",1500,0,06/25
C-117,072 213,072,C117APPLI,"SOFTWARE APPLICATION UPGRADES",EQFN,"",1500,0,06/26
C-117,072 213,072,C117APPLI,"SOFTWARE APPLICATION UPGRADES",EQFN,"",1500,0,06/27
C-117,072 213,072,C117CIRT,"Court-Based Intervention Resource Team (CIRT) Application",EQFN,"",322,0,06/17
C-117,072 213,072,C117CITY,"CITY TIME EXPANSION FOR DOC UNIFORMED FORCE",EQFN,"",1000,0,06/17
C-117,072 213,072,C117DANAL,"DATA ANALYTICS SYSTEM",EQFN,"",3981,0,06/17
C-117,072 213,072,C117DANAL,"DATA ANALYTICS SYSTEM",EQFN,"",3981,0,06/18
C-117,072 213,072,C117INFOR,"Infor Enterprise Asset Management System (Infor EAM)",EQFN,"",1696,0,06/17
C-117,072 213,072,C117INFRA,"Upgrades of Telecom HVAC, UPS and Peripherals",EQFN,"",8778,0,06/17
C-117,072 213,072,C117INFRA,"Upgrades of Telecom HVAC, UPS and Peripherals",CTGY,"",878,0,06/17
C-117,072 213,072,C117INMTE,"Inmate Tracking System",EQFN,"",2114,0,07/16
C-117,072 213,072,C117INMTE,"Inmate Tracking System",CTGY,"",106,0,07/16
C-117,072 213,072,C117JMS,"JAIL MANAGEMENT SYSTEM",EQFN,"",2000,0,06/17
C-117,072 213,072,C117JMS,"JAIL MANAGEMENT SYSTEM",EQFN,"",8326,0,06/18
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",EQFN,"",6929,0,06/17
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",EQFN,"",136,0,06/17
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",EQFN,"",1000,0,06/19
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",EQFN,"",1000,0,06/21
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",EQFN,"",3000,0,07/21
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",CTGY,"",300,0,07/21
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",EQFN,"",3000,0,07/22
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",CTGY,"",300,0,07/22
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",EQFN,"",2000,0,06/24
C-117,072 213,072,C117NWKUP,"Upgrade Network Infrastructure- Hardware and Software",EQFN,"",2000,0,06/26
C-117,072 213,072,C117VIDE1,"IP VIDEO RECORDING / CAMERA EXPANSION",EQFN,"",1000,0,06/19
C-117,072 213,072,C117VIDE1,"IP VIDEO RECORDING / CAMERA EXPANSION",CTGY,"",5000,0,07/16
C-117,072 213,072,C117VIDE1,"IP VIDEO RECORDING / CAMERA EXPANSION",EQFN,"",7960,0,06/17
C-117,072 213,072,C117VIDE1,"IP VIDEO RECORDING / CAMERA EXPANSION",EQFN,"",1000,0,06/24
C-117,072 213,072,C117VIDE1,"IP VIDEO RECORDING / CAMERA EXPANSION",EQFN,"",1000,0,07/25
C-130,072 234,072,C130PANEL,"REPLACEMENT OF ELECTRICAL DISTRIBUTION PANELS- RI POWERHOUS",DSGN,"",100,0,06/17
C-130,072 234,072,C130PANEL,"REPLACEMENT OF ELECTRICAL DISTRIBUTION PANELS- RI POWERHOUS",IFDS,"",10,0,05/17
C-130,072 234,072,C130PANEL,"REPLACEMENT OF ELECTRICAL DISTRIBUTION PANELS- RI POWERHOUS",CONS,"",500,0,06/17
C-130,072 234,072,C130PANEL,"REPLACEMENT OF ELECTRICAL DISTRIBUTION PANELS- RI POWERHOUS",IFSP,"",50,0,06/17
C-130,072 234,072,C130PANEL,"REPLACEMENT OF ELECTRICAL DISTRIBUTION PANELS- RI POWERHOUS",CTGY,"",50,0,06/17
C-136,072 238,072,C136-BAKE,"REPLACEMENT OF BAKERY EQUIPMENT",EQFN,"",240,0,06/17
C-136,072 238,072,C136-BAKE,"REPLACEMENT OF BAKERY EQUIPMENT",CTGY,"",25,0,06/19
C-136,072 238,072,C136-BAKE,"REPLACEMENT OF BAKERY EQUIPMENT",EQFN,"",400,0,07/18
C-138,072 240,072,C138ALARM,"Replacement of Fire Alarms and Smoke Systems at Var. Fac.",CONS,"",17906,0,06/17
C-138,072 240,072,C138BKFS2,"BKDC - Fire Life Safety Phase II",DSGN,"",3312,0,06/17
C-138,072 240,072,C138BKFS2,"BKDC - Fire Life Safety Phase II",CONS,"",29808,0,06/18
C-138,072 240,072,C138BKFS2,"BKDC - Fire Life Safety Phase II",IFDS,"",331,0,06/17
C-138,072 240,072,C138BKFS2,"BKDC - Fire Life Safety Phase II",IFSP,"",2981,0,06/18
C-138,072 240,072,C138BKFS2,"BKDC - Fire Life Safety Phase II",CTGY,"",331,0,06/17
C-138,072 240,072,C138BKFS2,"BKDC - Fire Life Safety Phase II",CTGY,"",2981,0,06/18
C-138,072 240,072,C138FEDER,"NIC Power Feder Replacement",CONS,"",1000,0,06/17
C-138,072 240,072,C138FEDER,"NIC Power Feder Replacement",IFSP,"",100,0,06/17
C-138,072 240,072,C138FEDER,"NIC Power Feder Replacement",CTGY,"",80,0,06/17
C-138,072 240,072,C138FSMOD,"Linear Heat Detection System",CONS,"",2435,0,12/16
C-138,072 240,072,C138FSMOD,"Linear Heat Detection System",IFSP,"",360,0,12/16
C-138,072 240,072,C138FSMOD,"Linear Heat Detection System",CTGY,"",244,0,12/16
C-138,072 240,072,C138FSNIC,"Rehab. of Fire Life Safety at NIC Main Bld & Dorms 1-4",CONS,"",1052,0,06/17
C-138,072 240,072,C138FSPH2,"Fire Life Safety Phase II",CONS,"",7255,0,05/17
C-138,072 240,072,C138FSPH2,"Fire Life Safety Phase II",CONS,"",50566,0,05/18
C-138,072 240,072,C138FSPH2,"Fire Life Safety Phase II",IFDS,"",300,0,05/17
C-138,072 240,072,C138FSPH2,"Fire Life Safety Phase II",IFSP,"",900,0,05/18
C-138,072 240,072,C138FSPH2,"Fire Life Safety Phase II",CTGY,"",800,0,05/18
C-138,072 240,072,C138FSPH2,"Fire Life Safety Phase II",DSGN,"",6186,0,06/17
C-138,072 240,072,C138FSPH2,"Fire Life Safety Phase II",IFDS,"",40,0,07/16
C-138,072 240,072,C138FSYS,"FIRE SAFETY SYSTEM CONSTRUCTION",CONS,"",8000,0,07/16
C-138,072 240,072,C138MNFS2,"MDC - North Tower Fire Life Safety Phase II",DSGN,"",2212,0,07/17
C-138,072 240,072,C138MNFS2,"MDC - North Tower Fire Life Safety Phase II",IFDS,"",200,0,07/16
C-138,072 240,072,C138MNFS2,"MDC - North Tower Fire Life Safety Phase II",CONS,"",19908,0,06/19
C-138,072 240,072,C138MNFS2,"MDC - North Tower Fire Life Safety Phase II",IFSP,"",600,0,06/19
C-138,072 240,072,C138MSFS2,"MDC - South Tower - Fire Life Safety Phase II",DSGN,"",2488,0,06/18
C-138,072 240,072,C138MSFS2,"MDC - South Tower - Fire Life Safety Phase II",CONS,"",22392,0,06/20
C-138,072 240,072,C138MSFS2,"MDC - South Tower - Fire Life Safety Phase II",IFDS,"",249,0,06/18
