budgetline,fmsnumber,managingagency,projectid,description,commitmentcode,commitmentdescription,citycost,noncitycost,plancommdate
HB-215,841 362,841,HBRA24925,"BETHEL AVE PED BRIDGE BIN:2249250",CONS,"",1000000,0,06/20
HB-215,841 362,841,HBRA24982,"ARTHUR KILL RD/ ARTHUR KILL STREAM BIN#2249820",CONS,"",3702000,0,06/21
HB-215,841 362,841,HBRC039,"REPLACEMENT OF CULVERT @ MIDLAND AVE/HYLAN BLVD - R-00023",SVCS,"",48000,0,06/18
HB-215,841 362,841,HBRC039,"REPLACEMENT OF CULVERT @ MIDLAND AVE/HYLAN BLVD - R-00023",CONS,"GENERAL",188000,0,06/17
HB-215,841 362,841,HBRC040,"REPLACEMENT OF CULVERT @ ROCKLAND AVE/BRIELLE AVE - R-00034",CONS,"GENERAL",261000,0,06/17
HB-215,841 362,841,HBRC040,"REPLACEMENT OF CULVERT @ ROCKLAND AVE/BRIELLE AVE - R-00034",CNSP,"CONSULTANT SUPERVISION OF",19000,0,06/18
HB-215,841 362,841,HBRC041,"REPLACEMENT OF CULVERT @ FOSTER AVE/RANDALL AVE - R-00068",CONS,"GENERAL",817000,0,06/17
HB-215,841 362,841,HBRC041,"REPLACEMENT OF CULVERT @ FOSTER AVE/RANDALL AVE - R-00068",CNSP,"CONSULTANT SUPERVISION OF",71000,0,06/18
HB-215,841 362,841,HBRC042,"REPLACEMENT OF CULVERT @ GREGG PL/RANDALL AVE - R-00069",CONS,"GENERAL",73000,0,06/18
HB-215,841 362,841,HBRC042,"REPLACEMENT OF CULVERT @ GREGG PL/RANDALL AVE - R-00069",CNSP,"CONSULTANT SUPERVISION OF",36000,0,06/18
HB-215,841 362,841,HBRC043,"REPLACEMENT OF CULVERT @ ARTHUR KILL RD/MULDOON AVE - R00084",CONS,"GENERAL",654000,0,07/16
HB-215,841 362,841,HBRC043,"REPLACEMENT OF CULVERT @ ARTHUR KILL RD/MULDOON AVE - R00084",CONS,"GENERAL",59000,0,06/18
HB-215,841 362,841,HBRC045,"REPLACEMENT OF CULVERT @ ARTHUR KILL RD/RIDGEWOOD AV",CONS,"GENERAL",387000,0,06/17
HB-215,841 362,841,HBRC045,"REPLACEMENT OF CULVERT @ ARTHUR KILL RD/RIDGEWOOD AV",CNSP,"CONSULTANT SUPERVISION OF",32000,0,06/18
HB-215,841 362,841,HBRC045,"REPLACEMENT OF CULVERT @ ARTHUR KILL RD/RIDGEWOOD AV",CONS,"GENERAL",69000,0,06/18
HB-215,841 362,841,HBRFDR,"FDR Drive, cross streets 14th and 15th streets",CONS,"",200000,0,06/18
HB-215,841 362,841,HBRSGFT17,"ARMAJANI STRUCTURE",CONS,"",1298000,0,06/17
HB-215,841 362,841,HBRSGFT17,"ARMAJANI STRUCTURE",CONS,"",1000000,0,06/17
HB-215,841 362,841,HBRSGFT17,"ARMAJANI STRUCTURE",CNSP,"",202000,0,08/16
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",1518000,0,06/18
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",550000,0,06/19
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",1648000,0,06/20
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",40901000,0,06/23
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",43000000,0,06/24
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",45000000,0,06/25
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",4300000,0,06/21
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",3225000,0,06/22
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",33427000,0,06/26
HB-215,841 362,841,HBR10COMP,"TEN YR COMP",CONS,"GENERAL",34463000,0,06/27
HB-215,841 362,841,HBX1215,"E. 175TH ST/METRO NORTH RR HAR 2-24174-0 TD PKG 1",CNSP,"CONSULTANT SUPERVISION OF",2640000,0,06/19
HB-215,841 362,841,HBX1215,"E. 175TH ST/METRO NORTH RR HAR 2-24174-0 TD PKG 1",CONS,"HIGHWAY BRIDGES",24000000,0,06/19
HB-215,841 362,841,HBX163,"5 Bridges - Melrose, Bronx",CONS,"",11250000,0,06/18
HB-215,841 362,841,HBX163,"5 Bridges - Melrose, Bronx",CNSP,"",1688000,0,06/18
HB-215,841 362,841,HBX163,"5 Bridges - Melrose, Bronx",SVCS,"",340000,0,06/18
HB-215,841 362,841,SANDHBFDR,"SANDY ER FOR FDR 18TH TO 25TH STREET",DSGN,"",131000,522000,06/17
HB-215,841 362,841,SANDHBFDR,"SANDY ER FOR FDR 18TH TO 25TH STREET",CONS,"",1335000,5337000,06/18
HB-215,841 362,841,SANDHBFDR,"SANDY ER FOR FDR 18TH TO 25TH STREET",DSGN,"",13000,51000,06/17
HB-215,841 362,841,SANDHBFDR,"SANDY ER FOR FDR 18TH TO 25TH STREET",CNSP,"CONSULTANT SUPERVISION OF",205000,820000,06/18
HB-215,841 362,841,SANDHB001,"Battery Park 2-23200 & West St 2-26738 Underpasses- Sandy",IFDS,"",425000,0,06/17
HB-215,841 362,841,SANDHB002,"Rehab of Movable Bridges Citywide - Sandy",IFSP,"",825000,0,06/17
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",DSGN,"",220000,880000,06/18
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",DSGN,"",110000,440000,06/18
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",DSGN,"",70000,280000,06/18
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",DSGN,"",35000,140000,06/18
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",CONS,"",110000,440000,06/20
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",CONS,"",35000,140000,06/20
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",CNSP,"",220000,880000,06/20
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",CNSP,"",70000,280000,06/20
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",CONS,"",2200000,8800000,06/20
HB-215,841 362,841,SANDHB2U,"SANDY ER BETTERMENTS FOR BATTERY PARK & WEST ST UNDERPASS",CONS,"",700000,2800000,06/20
HB-215,841 362,850,HBPEDMRS,"PED BRIDGE - MORRIS ST (M)",CONS,"HIGHWAY BRIDGES",2000000,0,06/18
HB-215,841 362,850,HBPEDMRS,"PED BRIDGE - MORRIS ST (M)",IFDS,"FINAL DESIGN",546000,0,06/17
HB-215,841 362,850,HBPEDMRS,"PED BRIDGE - MORRIS ST (M)",IFSP,"IN-HOUSE SUPERVISION OF C",546000,0,06/17
HB-215,841 362,850,HBPED100Q,"PED BRIDGE - 51 AVE (Q)",CONS,"HIGHWAY BRIDGES",2471000,0,06/18
HB-215,841 362,850,HBPED100Q,"PED BRIDGE - 51 AVE (Q)",SVCS,"SPECIAL TECHNICAL INVESTI",250000,0,06/18
HB-215,841 362,850,HBPED100Q,"PED BRIDGE - 51 AVE (Q)",CNSP,"CONSULTANT SUPERVISION OF",500000,0,06/18
HB-215,841 362,850,HBPED100Q,"PED BRIDGE - 51 AVE (Q)",CONS,"TRACKS AND RAILS",500000,0,06/18
HB-215,841 362,850,HBPED100Q,"PED BRIDGE - 51 AVE (Q)",CONS,"TRACKS AND RAILS",1845000,0,06/18
HB-215,841 362,850,HBPED100Q,"PED BRIDGE - 51 AVE (Q)",CNSP,"CONSULTANT SUPERVISION OF",277000,0,06/18
HB-215,841 362,850,HBPED100Q,"PED BRIDGE - 51 AVE (Q)",CONS,"",2122000,0,06/18
HB-215,841 362,850,HBPED100Q,"PED BRIDGE - 51 AVE (Q)",IFSP,"IN-HOUSE SUPERVISION OF C",25000,0,06/17
HB-215,841 362,850,HBPED100Q,"PED BRIDGE - 51 AVE (Q)",IFSP,"",580000,0,06/17
HB-215,841 362,850,HBPED216S,"PED BRIDGE - 216 ST (Q)",CONS,"HIGHWAY BRIDGES",1000000,0,06/18
HB-215,841 362,850,HBPED300Q,"PED BRIDGES- 55AV, 94ST, 167ST, 71AV(Q), W155ST(M), 204ST(X)",IFDS,"DESIGN",25000,0,06/17
HB-240,841 36O,841,HBM7240,"TRANS MANHATTAN EXPRESSWAY CONN. 2-26724-0",SVCS,"SPECIAL TECHNICAL INVESTI",600000,0,06/18
HB-240,841 36O,841,HBM7240,"TRANS MANHATTAN EXPRESSWAY CONN. 2-26724-0",CONS,"",2334000,1471000,06/17
HB-240,841 36O,841,HBM7240,"TRANS MANHATTAN EXPRESSWAY CONN. 2-26724-0",CNSP,"CONSULTANT SUPERVISION OF",132000,0,06/18
HB-240,841 36O,841,HBM7240,"TRANS MANHATTAN EXPRESSWAY CONN. 2-26724-0",CONS,"",304000,1213000,07/16
HB-240,841 36O,841,HBM7240,"TRANS MANHATTAN EXPRESSWAY CONN. 2-26724-0",IFSP,"",725000,0,06/17
HB-432,841 578,841,HBQ432,"HONEYWELL ST BR/ LIRR #2-24732-1/X753 03",IFSP,"",25000,0,06/17
HB-432,841 578,841,HBQ432,"HONEYWELL ST BR/ LIRR #2-24732-1/X753 03",IFSP,"",225000,0,06/17
HB-448,841 603,841,HBQ448,"QUEENS BLVD RR BR (RT25) @ JACKSON AVE #2-24731-0/X041 45",LEGL,"",380000,0,06/18
HB-530,841 427,841,HBK530,"PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0",CNSP,"CONSULTANT SUPERVISION OF",5952000,0,06/20
HB-530,841 427,841,HBK530,"PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0",CONS,"TRACKS AND RAILS",4222000,0,06/20
HB-530,841 427,841,HBK530,"PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0",CTGY,"",800000,0,06/17
HB-530,841 427,841,HBK530,"PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0",SVCS,"SPECIAL TECHNICAL INVESTI",466000,0,06/20
HB-530,841 427,841,HBK530,"PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0",CNSP,"CONSULTANT SUPERVISION OF",48000,0,06/20
HB-530,841 427,841,HBK530,"PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0",DSGN,"TOTAL DESIGN",578000,0,06/19
HB-530,841 427,841,HBK530,"PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0",CONS,"GENERAL",40328000,0,06/20
HB-530,841 427,841,HBK530,"PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0",DSGN,"TOTAL DESIGN",4000000,0,06/18
HB-530,841 427,841,HBK530,"PARKSIDE AVE AND OCEAN AVE RR BR #2-24302-0",SVCS,"SPECIAL TECHNICAL INVESTI",2000000,0,06/18
HB-548,841 633,841,HBK548,"21ST AVE RR BR & 64TH ST #2-24382-1/TN35190",CNSP,"CONSULTANT SUPERVISION OF",3072000,0,06/21
HB-548,841 633,841,HBK548,"21ST AVE RR BR & 64TH ST #2-24382-1/TN35190",CONS,"TRACKS AND RAILS",30224000,0,06/21
HB-548,841 633,841,HBK548,"21ST AVE RR BR & 64TH ST #2-24382-1/TN35190",CONS,"HIGHWAY BRIDGES",56338000,0,06/22
HB-548,841 633,841,HBK548,"21ST AVE RR BR & 64TH ST #2-24382-1/TN35190",CTGY,"",100000,0,06/17
HB-548,841 633,841,HBK548,"21ST AVE RR BR & 64TH ST #2-24382-1/TN35190",DSGN,"",800000,0,06/17
HB-548,841 633,841,HBK548,"21ST AVE RR BR & 64TH ST #2-24382-1/TN35190",SVCS,"SPECIAL TECHNICAL INVESTI",1651000,0,06/21
HB-548,841 633,841,HBK548,"21ST AVE RR BR & 64TH ST #2-24382-1/TN35190",DSGN,"",2761000,0,06/19
HB-551,841 638,841,HBM551,"PARK AVE TUNNEL FROM E34TH TO E39TH ST'S #2-24654-0/TN6142",CONS,"GENERAL",100000,0,06/17
HB-551,841 638,841,HBM551,"PARK AVE TUNNEL FROM E34TH TO E39TH ST'S #2-24654-0/TN6142",CONS,"GENERAL",4387000,0,06/18
HB-551,841 638,841,HBM551,"PARK AVE TUNNEL FROM E34TH TO E39TH ST'S #2-24654-0/TN6142",IFDS,"",25000,0,12/16
HB-551,841 638,841,HBM551,"PARK AVE TUNNEL FROM E34TH TO E39TH ST'S #2-24654-0/TN6142",CNSP,"CONSULTANT SUPERVISION OF",45000,0,06/18
HB-551,841 638,841,HBM551,"PARK AVE TUNNEL FROM E34TH TO E39TH ST'S #2-24654-0/TN6142",SVCS,"SPECIAL TECHNICAL INVESTI",421000,0,06/18
HB-551,841 638,841,HBM551,"PARK AVE TUNNEL FROM E34TH TO E39TH ST'S #2-24654-0/TN6142",IFSP,"",650000,0,06/17
HB-643,841 60J,841,HBK1072WM,"WETLAND MITIGATION BELT PKWAY (PRDGT, FSH CRK, MILL, GERTSN)",CONS,"HIGHWAY BRIDGES",16000,0,06/18
HB-643,841 60J,841,HBK643,"BELT PARKWAY OVER GERRITSEN INLET #2-23145-0/X021 39/TRN9020",CNSP,"CONSULTANT SUPERVISION OF",979000,0,06/17
HB-643,841 60J,841,HBK643,"BELT PARKWAY OVER GERRITSEN INLET #2-23145-0/X021 39/TRN9020",CONS,"",212000,0,06/17
HB-643,841 60J,841,HBK643,"BELT PARKWAY OVER GERRITSEN INLET #2-23145-0/X021 39/TRN9020",CNSP,"",1000000,0,06/18
HB-643,841 60J,841,HBK643,"BELT PARKWAY OVER GERRITSEN INLET #2-23145-0/X021 39/TRN9020",CNSP,"",704000,0,06/17
HB-643,841 60J,841,HBK643,"BELT PARKWAY OVER GERRITSEN INLET #2-23145-0/X021 39/TRN9020",CNSP,"CONSULTANT SUPERVISION OF",1000000,0,06/17
HB-643,841 60J,841,HBK643,"BELT PARKWAY OVER GERRITSEN INLET #2-23145-0/X021 39/TRN9020",CONS,"HIGHWAY BRIDGES",3234000,0,06/17
HB-643,841 60J,841,HBK643,"BELT PARKWAY OVER GERRITSEN INLET #2-23145-0/X021 39/TRN9020",IFSP,"",750000,0,06/17
HB-643,841 60J,846,P-2BELTPC,"FY14 Belt Parkway Street Trees",DSGN,"COMPLETE DESIGN",67000,0,06/18
HB-643,841 60J,846,P-2BELTPC,"FY14 Belt Parkway Street Trees",CONS,"GENERAL",4739000,0,06/17
HB-643,841 60J,846,P-2BELTPC,"FY14 Belt Parkway Street Trees",CONS,"",474000,0,06/17
HB-644,841 60B,841,HBX644,"MADISON AVE BR OVER HARLEM RIVER @ E138 ST 2-24007-1/TN6180",CTGY,"",1600000,4000000,06/17
HB-644,841 60B,841,HBX644S,"MADISON AVE BR - REHAB OF ELECTRICAL AND MECHANICAL SYSTEM",CONS,"GENERAL",8159000,32636000,06/18
HB-644,841 60B,841,HBX644S,"MADISON AVE BR - REHAB OF ELECTRICAL AND MECHANICAL SYSTEM",DSGN,"",667000,0,06/18
HB-644,841 60B,841,HBX644S,"MADISON AVE BR - REHAB OF ELECTRICAL AND MECHANICAL SYSTEM",CNSP,"CONSULTANT SUPERVISION OF",4078000,0,06/18
HB-644,841 60B,841,HBX644S,"MADISON AVE BR - REHAB OF ELECTRICAL AND MECHANICAL SYSTEM",SVCS,"",451000,0,06/17
HB-644,841 60B,841,HBX644S,"MADISON AVE BR - REHAB OF ELECTRICAL AND MECHANICAL SYSTEM",SVCS,"",1540000,0,06/18
HB-644,841 60B,841,HBX644S,"MADISON AVE BR - REHAB OF ELECTRICAL AND MECHANICAL SYSTEM",DSGN,"",49000,0,06/17
HB-644,841 60B,841,HBX644S,"MADISON AVE BR - REHAB OF ELECTRICAL AND MECHANICAL SYSTEM",IFDS,"",702000,0,06/17
HB-1012,841 61R,841,BRKA24039,"GRAND STREET/ NEWTON CREEK BIN: 2240390",DSGN,"",11500000,0,06/18
HB-1012,841 61R,841,BRKA24039,"GRAND STREET/ NEWTON CREEK BIN: 2240390",SVCS,"",5500000,0,06/18
HB-1012,841 61R,841,BRKA24039,"GRAND STREET/ NEWTON CREEK BIN: 2240390",DSGN,"",500000,0,06/18
HB-1012,841 61R,841,BRKA24039,"GRAND STREET/ NEWTON CREEK BIN: 2240390",CONS,"",11902000,0,06/22
HB-1012,841 61R,841,BRKA24039,"GRAND STREET/ NEWTON CREEK BIN: 2240390",CNSP,"",11000000,0,06/22
HB-1012,841 61R,841,HBBA06672,"EAST 174TH ST/SHERIDAN EXPWY AMTRAK BIN# 2066720",SVCS,"",4683000,0,06/18
HB-1012,841 61R,841,HBBA06672,"EAST 174TH ST/SHERIDAN EXPWY AMTRAK BIN# 2066720",DSGN,"",9866000,0,06/18
HB-1012,841 61R,841,HBBA06672,"EAST 174TH ST/SHERIDAN EXPWY AMTRAK BIN# 2066720",CONS,"TRACKS AND RAILS",121000,0,06/18
HB-1012,841 61R,841,HBBA24181,"East 188th St over MNRR Har BIN 2241810",DSGN,"",2000000,0,06/18
HB-1012,841 61R,841,HBBA24181,"East 188th St over MNRR Har BIN 2241810",SVCS,"",1000000,0,06/18
HB-1012,841 61R,841,HBBA24245,"EAST 233RD ST/ BRONX RIVER BIN # 2242459",SVCS,"",959000,0,06/19
HB-1012,841 61R,841,HBBA24245,"EAST 233RD ST/ BRONX RIVER BIN # 2242459",DSGN,"",1917000,0,06/19
HB-1012,841 61R,841,HBCD000,"MATERIAL TESTING SPECIALIZE FABRICATION",CONS,"GENERAL",1587000,0,09/16
HB-1012,841 61R,841,HBCD001,"INSPECTION SERVICES AT CONCRETE & ASPHALT (CITYWIDE)",CONS,"GENERAL",4446000,0,06/17
HB-1012,841 61R,841,HBCD001C,"IN-PROCESS FAB INSPECTN OF PP CONCRTE IN THE NE US (CITYWIDE",CONS,"GENERAL",867000,0,09/16
HB-1012,841 61R,841,HBCD001D,"IN-PROCESS FAB INSPCTN OF PP CONCRTE IN US/CAN (CITYWIDE)",CONS,"GENERAL",263000,0,09/16
HB-1012,841 61R,841,HBCD0011,"INSPECTION SERVICES AT CONCRETE & ASPHALT PLANTS",CONS,"",4874000,0,06/20
HB-1012,841 61R,841,HBCD0011A,"IN-PROCESS FAB INSPECTION STRUCTURAL STEEL IN NE USA",CONS,"",12383000,0,06/20
HB-1012,841 61R,841,HBCD0011B,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN US/CAN",CONS,"",6756000,0,06/20
HB-1012,841 61R,841,HBCD0011C,"IN-PROCESS FAB INSPECTION OF PP CONCRETE IN NE USA",CONS,"",3796000,0,06/20
HB-1012,841 61R,841,HBCD0012,"TESTING AND SAMPLING OF MATERIAL (CITYWIDE)",CONS,"",9800000,0,06/21
HB-1012,841 61R,841,HBCD002,"TESTING AND SAMPLING OF MATERIALS",CONS,"GENERAL",5644000,0,09/16
HB-1012,841 61R,841,HBCD003,"INSPECTION SERVICES AT ASPHALT AND CONCRETE PLANTS",DSGN,"",1293000,0,09/16
HB-1012,841 61R,841,HBCD003A,"IN-PROCESS FAB INSPECTN OF STRUCTURAL STEEL IN NE USA",CONS,"",258000,0,09/16
HB-1012,841 61R,841,HBCD003B,"IN-PROCESS FAB INSPCTN OF STRUTURAL STEEL IN US/CAN",CONS,"",240000,0,09/16
HB-1012,841 61R,841,HBCD003C,"IN-PROCESS FAB INSPCTN OF PP CONCRETE IN NE USA",DSGN,"",817000,0,09/16
HB-1012,841 61R,841,HBCD003D,"IN-PROCESS FAB INSPCTN OF PP CONCRETE IN US/CAN",DSGN,"",405000,0,09/16
HB-1012,841 61R,841,HBCD004,"TESTING AND SAMPLING OF MATERIALS",DSGN,"",5593000,0,09/16
HB-1012,841 61R,841,HBCD005,"INSPECTION SERVICES AT ASPHALT AND CONCRETE PLANTS",CONS,"HIGHWAY BRIDGES",999000,0,09/16
HB-1012,841 61R,841,HBCD005A,"IN-PROCESS FABRICATION INSPECTION OF STRUCTURAL STEEL",CONS,"HIGHWAY BRIDGES",209000,0,09/16
HB-1012,841 61R,841,HBCD005A,"IN-PROCESS FABRICATION INSPECTION OF STRUCTURAL STEEL",CONS,"HIGHWAY BRIDGES",85000,0,09/16
HB-1012,841 61R,841,HBCD005D,"IN-PROCESS FABRICATION INSPECTION OF PP CONCRETE",CONS,"HIGHWAY BRIDGES",550000,0,09/16
HB-1012,841 61R,841,HBCD006,"TESTING AND SAMPLING OF MATERIALS",CONS,"HIGHWAY BRIDGES",6829000,0,09/16
HB-1012,841 61R,841,HBCD006P,"Citywide Inspection/Monitoring of Bridge Paint Removal&Appl",CONS,"",2465000,0,06/20
HB-1012,841 61R,841,HBCD009A,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN NE USA",CONS,"",7994000,0,06/17
HB-1012,841 61R,841,HBCD009A,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN NE USA",CONS,"",1231000,0,06/18
HB-1012,841 61R,841,HBCD009B,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN US/CAN",CONS,"",4386000,0,06/17
HB-1012,841 61R,841,HBCD009B,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN US/CAN",CONS,"",646000,0,06/18
HB-1012,841 61R,841,HBCD009C,"IN-PROCESS FAB INSPECTION OF PP CONCRETE IN USA/CAN",CONS,"",2383000,0,06/17
HB-1012,841 61R,841,HBCD009C,"IN-PROCESS FAB INSPECTION OF PP CONCRETE IN USA/CAN",CONS,"",430000,0,06/18
HB-1012,841 61R,841,HBCD010,"TESTING AND SAMPLING OF MATERIALS (CITYWIDE)",CONS,"",7419000,0,06/18
HB-1012,841 61R,841,HBCD013,"Inspection Services at Concrete & Asphalt Plants",CONS,"",5200000,0,06/23
HB-1012,841 61R,841,HBCD013A,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN NE US",CONS,"",12386000,0,06/23
HB-1012,841 61R,841,HBCD013B,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN US",CONS,"",6756000,0,06/23
HB-1012,841 61R,841,HBCD013C,"IN-PROCESS FAB INSPECTION OF PP CONCRETE IN USA/CAN",CONS,"",3165000,0,06/23
HB-1012,841 61R,841,HBCD014,"Testing and Sampling of Material (Citywide)",CONS,"",11301000,0,06/24
HB-1012,841 61R,841,HBCD015A,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN NE USA",CONS,"",12767000,0,06/26
HB-1012,841 61R,841,HBCD015A,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN NE USA",CONS,"",13163000,0,06/27
HB-1012,841 61R,841,HBCD015B,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN US/CAN",CONS,"",6965000,0,06/26
HB-1012,841 61R,841,HBCD015B,"IN-PROCESS FAB INSPECTION OF STRUCTURAL STEEL IN US/CAN",CONS,"",7181000,0,06/27
HB-1012,841 61R,841,HBCD015C,"IN-PROCESS FAB INSPECTION OF PP CONCRETE IN USA/CAN",CONS,"",3263000,0,06/26
HB-1012,841 61R,841,HBCD015C,"IN-PROCESS FAB INSPECTION OF PP CONCRETE IN USA/CAN",CONS,"",3364000,0,06/27
HB-1012,841 61R,841,HBCD099,"MATERIAL TESTING",CONS,"GENERAL",6016000,0,09/16
HB-1012,841 61R,841,HBCD099,"MATERIAL TESTING",CONS,"GENERAL",120000,0,07/16
HB-1012,841 61R,841,HBCR03A,"COMPONENT REHABILITATION 03A CONSTRUCTION",IFDS,"",230000,0,06/17
HB-1012,841 61R,841,HBC1012,"DESIGN COST FOR BRIDGES: PREL,FINAL DESIGN OUTER YEARS",CTGY,"",50000000,10000000,06/17
HB-1012,841 61R,841,HBC1012,"DESIGN COST FOR BRIDGES: PREL,FINAL DESIGN OUTER YEARS",DSGN,"TOTAL DESIGN",5199000,0,06/22
HB-1012,841 61R,841,HBC1012,"DESIGN COST FOR BRIDGES: PREL,FINAL DESIGN OUTER YEARS",DSGN,"TOTAL DESIGN",15212000,0,06/23
HB-1012,841 61R,841,HBC1012,"DESIGN COST FOR BRIDGES: PREL,FINAL DESIGN OUTER YEARS",DSGN,"",4529000,0,06/18
HB-1012,841 61R,841,HBC1012,"DESIGN COST FOR BRIDGES: PREL,FINAL DESIGN OUTER YEARS",DSGN,"",15212000,0,06/24
HB-1012,841 61R,841,HBC1012,"DESIGN COST FOR BRIDGES: PREL,FINAL DESIGN OUTER YEARS",DSGN,"",15212000,0,06/25
HB-1012,841 61R,841,HBC1012,"DESIGN COST FOR BRIDGES: PREL,FINAL DESIGN OUTER YEARS",DSGN,"",5000000,0,06/19
HB-1012,841 61R,841,HBKA23036,"UNION ST OVER 278I BQE BIN 2230360",DSGN,"",1316000,0,06/21
HB-1012,841 61R,841,HBKA23036,"UNION ST OVER 278I BQE BIN 2230360",SVCS,"",658000,0,06/21
HB-1012,841 61R,841,HBKA23038,"KANE ST/ 278I (BQE) BIN# 2230380",SVCS,"",671000,0,06/18
HB-1012,841 61R,841,HBKA23038,"KANE ST/ 278I (BQE) BIN# 2230380",DSGN,"",1343000,0,06/18
HB-1012,841 61R,841,HBKA23142,"BSHP OVER BEDFORD AVE BIN 2231429",DSGN,"",3159000,0,06/18
HB-1012,841 61R,841,HBKA23142,"BSHP OVER BEDFORD AVE BIN 2231429",SVCS,"",1580000,0,06/18
HB-1012,841 61R,841,HBKA23142,"BSHP OVER BEDFORD AVE BIN 2231429",DSGN,"",500000,0,06/18
HB-1012,841 61R,841,HBKBQE,"Rehabilitation of BQE (I-278) from Sands St. to Atlantic Av",DSGN,"",0,6799000,06/17
HB-1012,841 61R,841,HBKBQE,"Rehabilitation of BQE (I-278) from Sands St. to Atlantic Av",SVCS,"",64187000,0,06/17
HB-1012,841 61R,841,HBKBQE,"Rehabilitation of BQE (I-278) from Sands St. to Atlantic Av",DSGN,"",103461000,0,06/17
HB-1012,841 61R,841,HBKBQE,"Rehabilitation of BQE (I-278) from Sands St. to Atlantic Av",DSGN,"",1489000,0,06/17
HB-1012,841 61R,841,HBKBQE,"Rehabilitation of BQE (I-278) from Sands St. to Atlantic Av",DSGN,"",2625000,0,06/17
HB-1012,841 61R,841,HBK1140,"HAMILTON AVENUE/GOWANUS CANAL (BIN 2-24023)",IFSP,"",250000,0,06/17
HB-1012,841 61R,841,HBMA22934,"RAMP TO NB HHP OVER AMTRAK WEST SIDE BIN 222934A",DSGN,"",2843000,0,06/18
HB-1012,841 61R,841,HBMA22934,"RAMP TO NB HHP OVER AMTRAK WEST SIDE BIN 222934A",SVCS,"",1422000,0,06/18
HB-1012,841 61R,841,HBMA24501,"WEST 35TH ST/ AMTRAK 30ST BRANCH BIN# 224501E",DSGN,"",1745000,0,06/18
HB-1012,841 61R,841,HBMA24501,"WEST 35TH ST/ AMTRAK 30ST BRANCH BIN# 224501E",SVCS,"",873000,0,06/18
HB-1012,841 61R,841,HBMA24501,"WEST 35TH ST/ AMTRAK 30ST BRANCH BIN# 224501E",CONS,"TRACKS AND RAILS",121000,0,06/18
HB-1012,841 61R,841,HBMA24529,"WEST 155TH ST PED BRIDGE OVER AMTRAK BIN:2245290",DSGN,"",708000,0,06/18
HB-1012,841 61R,841,HBMA24529,"WEST 155TH ST PED BRIDGE OVER AMTRAK BIN:2245290",SVCS,"",354000,0,06/18
