managingagency,projectid,description,citycost,noncitycost,totalcost
850,HLRNRICHD,RICHMOND MEDICAL CENTER- ENHANCE SURGICAL SVCS WITH ROBOTIC,2393000,0,2393000
111,PO46-38,CONSOLETTE BASES-25,2391000,0,2391000
846,P-1CRPOFW,Crotona Park -Recon pool perimeter fence & wall X010-314M,2388000,0,2388000
801,SAND1108,HHC FEMA BELLEVUE HOSPITAL GENERAL CONSTRUCTION,0,2388000,2388000
846,P-403MOS2,"BULOVA/MOSER PK BOCCE CT, PE AND SPRAY SHOWER Q366-116M",2387000,0,2387000
846,P-3STFWAG,"STF - Wagner Playground Synthetic turf field, Manhattan",2384000,0,2384000
850,PW77CHROT,City Hall Rotunda,2382000,0,2382000
850,PW311S07B,Marine Borings Citywide,2381000,0,2381000
72,C75VCBCGC,VCBC Gang Cell Door Release,2380000,0,2380000
841,TD19-9507,NYC Authorized Parking Permit (NYCAPP),2380000,0,2380000
850,CONISPH3B,"Storm and Sanitary Sewer, Trunk and Distribution Water Main",2378000,0,2378000
846,P-3PLG15C,Manhattan Playground Requirements MG-615M,2376000,0,2376000
846,P-210DBSF,Dyker Beach Park- Soccer Field B028-116M,2372000,0,2372000
846,P-3PLG15D,Playground Requirements MG-116M,2369000,0,2369000
846,P-2PPANEP,Northeast Paths - Prospect Park Alliance,2364000,0,2364000
856,PW357STM2,253 BROADWAY - RECONSTRUCT STEAM STATION,2364000,0,2364000
846,P-6PDBLGC,Partial recon C/S - Citywide CNYG-515M,2362000,0,2362000
126,PV490-C,SHCC - SHCC Main Hall Bldg C Roof Reconstruction,2361000,0,2361000
819,75200902,SEAVIEW: RENOVATION OF ISOLATION BUILDING,2360000,0,2360000
850,HLDNMOUNQ,Mount Sinai Queens - Equipment Purchases,2358000,0,2358000
850,SER200277,1. Storm Sewer Extension at Forrestal Ct,2358000,0,2358000
841,TFLGLMANH,"Decorative Street light in Lower Manhattan , X759.24",0,2354000,2354000
846,P-218LOTT,HENDRICK LOTT HOUSE - PHASE 3,2350000,0,2350000
846,P-6PDRFMN,Recon roofs at Parks facilities in Manhattan MG-215M,2350000,0,2350000
850,SEPWCWS01,SURVEYS FOR SEWERS CITYWIDE,2350000,0,2350000
850,HWMP116,RECON OF ASTOR PLACE AND COOPER SQUARE,2350000,0,2350000
850,SEPWCWS02,SURVEYS FOR SEWERS CITYWIDE,2350000,0,2350000
850,SEPWCWS03,SURVEYS FOR SEWERS CITYWIDE,2350000,0,2350000
850,SEPWCWS04,SURVEYS FOR SEWERS CITYWIDE,2350000,0,2350000
850,SEPWCWS06,SURVEYS FOR SEWERS CITYWIDE,2350000,0,2350000
850,SEPWCWS05,SURVEYS FOR SEWERS CITYWIDE,2350000,0,2350000
846,P-204GRCK,Green Central Knoll - Comfort Station B395-115M,1997000,350000,2347000
850,PV329-PLY,PH - 440 Studios - 3rd and 4th Floor Renov./Seating,2345000,0,2345000
111,MDA7CYBR,MDA Cybercrime Lab,2345000,0,2345000
71,HH105WARE,"BROOKLYN WAREHOUSE NETWORK STABILIZATION, SECURITY AND DESI",2344000,0,2344000
850,SETVDDC14,Cleaning and TVing of sewers by DDC,2343000,0,2343000
71,HH112HSMR,HELP SEC.-MIAN BLDG.ROOF REPLACEMENT,2340000,0,2340000
846,P-1PUTNAM,PUTNAM GREENWAY - X092-508M,1035000,1305000,2340000
850,SEQ200536,STRM SWR & WM IN 182 ST BETW HILLSIDE & 90TH AVES,2337000,0,2337000
846,P-6PNYCRF,PlaNYC 2030 Reforestation,2336000,0,2336000
801,WILLETINF,Willets Point Redevelopment Infrastructure,2336000,0,2336000
826,C260102B,"Betterment Cost for WM replacement, 2nd Ave Subway, 96th st",2335000,0,2335000
126,PV176-REC,WCS BRONX ZOO - Reconstruction,0,2334000,2334000
850,SEQ200550,Storm & Sanit. Swr ext. 99st & Rockawy Bch blvd & dead end,2332000,0,2332000
846,P-4PLG15C,FY15 Queens Plgrd Multisite QG-815M,2331000,0,2331000
806,ARVERNEY,BENJAMIN BEECHWOOD LLC,2326000,0,2326000
827,S136-251A,Steam Pipe Replacement from CRS to NYPD,2326000,0,2326000
856,PW77CARP,AFTER ACTION RESLIENCE EQP - SOLAR CAR PORTS,2325000,0,2325000
856,ACEHHC601,HHC - Woodhull Medical Center - Air Handlers,2323000,0,2323000
111,PO-D187D,ARGUS VIDEO SURVEILLANCE CAMERAS - CITYWIDE,2323000,0,2323000
68,JJFLEET,Secure Passenger Vans,2311000,0,2311000
841,STGWIRERP,ST. GEORGE FERRY SLIPS WIRE ROPES,2311000,0,2311000
856,PW7780ELC,80 CENTRE ST.- ELECTRICAL,2302000,0,2302000
841,HBQ1209,"SUNRISE HWY W/B BRIDGE OVER BLP W/B, QUEENS 2-23166-0",2302000,0,2302000
111,FISA7KEEP,FISA CityTime User Interface Upgrade,2300000,0,2300000
37,LNXA17VCT,VAN CORTLANDT - Site Acquisition / New Branch Construction,1300000,1000000,2300000
850,RWK013,RETAINING WALL - Highland Blvd E/B before Jackie Robinson,2300000,0,2300000
846,P-300ZO19,Central Park Zoo - Roofs,2300000,0,2300000
841,HWD10327,Dutch Kills Pedestrian Safety Project,2300000,0,2300000
841,HBRSGFT17,ARMAJANI STRUCTURE,2298000,0,2298000
71,HH105DATA,ENHANCED REPORTING,2295000,0,2295000
850,BEDA-001,Accelerated Distribution WM replcmnt & sewer rehab- BKLYN,2294000,0,2294000
846,P-410PONI,P.O. NICHOLAS DEMUTIS PLGD RC Q118-114M,2293000,0,2293000
42,SAND-KG03,Marina Reconstruction,749000,1543000,2292000
826,RED-373,"Replcmnt of WM & sanitary sewer spot repairs, Bradley Ave.",2288000,0,2288000
856,ACEFDN601,FDNY - VARIOUS LOCATIONS,2286000,0,2286000
856,CO299EXT2,89-17 SUTPHIN BLVD.- EXTERIOR,2284000,0,2284000
846,P-2TRE17C,"FY17 Street Tree Brooklyn1,11,13,15 BG-",1818000,462000,2280000
826,PO-115-L,CAPITAL PURCHASE OF OEM REPLACEMENT DIFFUSER SYSTEMS & PA,2280000,0,2280000
57,F202EC268,SITE ACQUISITION - EC268,2277000,0,2277000
72,C75NSDEQ1,REPLACEMENT OF FOOD SERVICE EQUIPMENT,2277000,0,2277000
841,BKBRDGITS,Brooklyn Bridge Approaches-DOT ITS,2276000,0,2276000
856,PW7780EX7,80 CENTRE STREET - 11/98 CYCLE 7 EXAMINATION,2275000,0,2275000
111,PO187GCMS,GAS CHROMATOGRAPH/MASS SPECTROMETERS,2275000,0,2275000
57,F212COR15,EMS CAD COR PROJECT,2275000,0,2275000
850,SEK002380,"Combined relief sewer & WM replac. at 7ST B/T 3 & 4 AV, BKL",2269000,0,2269000
858,DOIT6311I,DoITT 311 Infrastructure Upgrade,2269000,0,2269000
846,P-413BPTC,BROOKVILLE PARK ENHANCEMENTS Q008-115M,2269000,0,2269000
850,HL82MAIMC,MAIMONIDES MEDICAL CENTER,2269000,0,2269000
850,LNCA13HAM,HAMILTON FISH: REHABILITATION,2267000,0,2267000
846,SANDY3-22,Mannahatta Park,226000,2038000,2264000
850,HWP15XMTA,Complex Ped Ramps - Transit Authority - Manhattan,2262000,0,2262000
72,ACEDOC401,RIKERS ISLAND STEAM DISTRIBUTION UPGRADE,2260000,0,2260000
850,PWD005NEW,NONTRADITIONAL EMPLOYMENT FOR WOMEN,2259000,0,2259000
856,CO283BLR,100 CENTRE ST.- BOILER BURNERS AND CONTROLS,2259000,0,2259000
801,SSSLUMP,Lump Sum - South Street Seaport,1281000,974000,2255000
826,R-156-L,RECONSTRUCT POWER DISTRIBUTION EQUIPMENT @ ROCKAWAY WWTP,2254000,0,2254000
841,SIGNALS2,"Traffic Signals Safety, Citywide FY16",2250000,0,2250000
72,C75SUPFC,Exterior Reconstruction for Support Facilities,2250000,0,2250000
850,SER002311,SAN & STRM SWR IN BERTRAM AV B/T ZEPHYR AV & HYLAN BLVD.,2250000,0,2250000
71,HH115HHBU,HOSPITALITY HOUSE BLD UPGRADE,2250000,0,2250000
846,P-4BOROW1,FMCP - Major Improvments,2245000,0,2245000
841,HWSTEP04,STEP STREET REHABILITATION,2244000,0,2244000
846,P-2TRE17B,"FY17 Street Tree Brooklyn1,6,7,9,12 BG-",1896000,348000,2244000
126,PV467-PCT,DCA PFA - Percent for Art Conservation of Public Art,2242000,0,2242000
846,P-4CPIP35,CPI PH2 - Playground Thirty Five XXXV R/C,2241000,0,2241000
801,PV279-STU,NYCC - New York City Center Studios Renovation,2241000,0,2241000
111,DYCD6EMS,DYCD Modernization Initiative Phase 2 - EMS,2231000,0,2231000
846,P-6PNYTP2,PlaNYC - FY09 Street Tree Procurement (CNYG-1708MA),2227000,0,2227000
850,GKNC14-07,GI - AREA WIDE DSGN BIOSWALES & STORMWATER GS NCB-14 PH 3,2227000,0,2227000
850,SE-795,STORM & SANITARY SEWER IN CHANDLER ST- NAMEOKE AV&BATT,2225000,0,2225000
826,1464-MTR,RECONSTRUCTION OF 4160/480 VOLT MSP AND BLOWER MOTORS VAR.,2222000,0,2222000
850,PV176ITF1,WCS - Bronx Zoo Parking Lot Improvements,1977000,243000,2220000
846,P-112WKFD,Wakefield Park Reconstruction (X188-116M),1220000,1000000,2220000
841,HWD10329,Safe Routes to Schools at PS 89,2220000,0,2220000
72,C138PWRHS,DESIGN AND INSTALL FIRE ALARM SYSTEM AT EXISTING POWERHOUSE,2220000,0,2220000
846,P-1TRAILX,West Farms Park - Construction Continuation,1331000,886000,2217000
126,PV381SRA7,Seventh Regiment Armory - North Elevator,2216000,0,2216000
846,P-4BIGBSH,Big Bush Park Playground R/C Q205A-115M,2215000,0,2215000
111,OATH6ATAS,OATH ECB-ATAS Consolidation,2212000,0,2212000
72,C75AMKCMH,AMKC MENTAL HEALTH CLINIC RECONSTRUCTION,2210000,0,2210000
71,HH112HSCR,HELP SEC-COTTAGE ROOF REPLACEMENT,2210000,0,2210000
846,P-303SDRP,"Sara D. Roosevelt Park - Pathways, sidewalks, exterior wall",2210000,0,2210000
801,PWSAMFIEH,FA - Samuel Fields YM & YWHA Building,2210000,0,2210000
801,SANDCD14,PIER 76 ELECTRICAL CONDUIT,221000,1983000,2204000
846,P-1DEPOT,Depot Place - portion of Harlem River greenway XG-31800-106M,1460000,743000,2203000
846,P-307R97D,RVSD PK - W. 79TH ST BOAT BASIN DOCK A RC M071-310M,2203000,0,2203000
846,SANDY5-27,Sandy-Wolfe's Pond Park-R/C of the berm,221000,1981000,2202000
850,HWCURB09,Curb Reconstruction,200000,2000000,2200000
801,DEO-OWLS,Owls Head Pier Emergency Dredging,2200000,0,2200000
72,C75-GCELL,GANG CELL DOOR RELEASE,2200000,0,2200000
841,HWD10220,DOT - 3rd Avenue Sidewalks,2200000,0,2200000
846,SANDY6-21,"Sandy Tree Planting and Replanting - BX, Q, & M",200000,2000000,2200000
841,FAWHTGIRD,WHITEHALL SLIP 1 GIRDER RECONSTRUCTION,2200000,0,2200000
846,P-3LMDCCH,LMDC - Corlear's Hook Comfort Station M017-114M,400000,1800000,2200000
806,HAM17THUR,ROOF WORK AT THURGOOD MARSHALL HOUSES,2200000,0,2200000
819,11201742,BHC:REPLACEMENT OF DIGITAL PORTABLE X-RAY UNITS (14),2200000,0,2200000
846,P-405JPSS,JUNIPER VALLEY PARK: UPGRADES TO SPRAY SHOWERS,2200000,0,2200000
846,P-1OWEND2,OWEN F. DOLEN PK GOLDEN AGE CTR X016-114M,2198000,0,2198000
801,SUNSETPAR,Sunset Park Waterfront Redevelopment,1420000,776000,2196000
850,HWP16MTAL,Complex Ped Ramps - Transit Authority & Landmark - Manhatt,2195000,0,2195000
801,BKWMMIMP,Brooklyn Wholesale Meat Markets Building Improvement,2194000,0,2194000
111,DOIT7IVR,Natural Language Router and Customer Service Center Upgrade,2194000,0,2194000
850,PW325ELC2,210 JORALEMON ST. ELECTRICAL UPGRADE AND EMERGENCY GENERATO,2193000,0,2193000
56,SANDCD7,POLICE SERVICE AREA 4 (PSA4),220000,1972000,2192000
846,P-1AQWALK,MLK Triangle/Aqueduct Walk X001-114M,2190000,0,2190000
850,PV266-EXT,MIN - Mind-Builders Exterior Renovation,2188000,0,2188000
846,SANDY4-17,SANDY - Rockaway Beach Skate Park Q163-111M,225000,1963000,2188000
850,LNCA13GBR,"GEORGE BRUCE: Partial Interior/Exterior,/ Roof / Boil",2187000,0,2187000
846,P-415MEA2,FMCP - MEADOW LAKE- PATHS Q099-215M,2186000,0,2186000
801,GREEN,Green Infrastructure 26W,2184000,0,2184000
850,SANDRENO,HURRCANE SANDY DAMAGE STATEN ISLAND BEACHES-VARIOUS,1917000,267000,2184000
850,CO301PD,130 STUYVESANT PL.- PARKING GARAGE DECK,2183000,0,2183000
850,SEX002257,"SEYMORE AV B/T ALLERTON AVE & ASTOR AVE, ETC",2183000,0,2183000
850,LNCA14MBG,HVAC and Related Work,1982000,200000,2182000
846,P-6BRIDGE,Citywide Flag Repairs,2181000,0,2181000
846,P-307BLOC,CPI PH2 - Bloomingdale Plgr Comfort Station Reco,2180000,0,2180000
850,PV467HECK,East Harlem Center/LDC - Heckscher Bldg. Roof Renovations,2177000,0,2177000
850,C75NICSHW,NIC SHOWER RECONSTRUCTION,2177000,0,2177000
827,S216-402,MARINE TRANSFER STATION AT NORTH SHORE,2176000,0,2176000
850,PV467ANYC,CLG - ART/NY Initial Outfit,2176000,0,2176000
801,SANDHOME,Repairs to Homeport as a result of Hurricane Sandy,218000,1957000,2175000
846,GKBKGI-01,GI - DSGN & CONS OF PARKLAND RETROFITS IN BROOKLYN,2175000,0,2175000
826,JOC-DEP,Facilities Improvement Program,2173000,0,2173000
841,TFD00504,Purchase and install Bus Countdown Clocks,2167000,0,2167000
850,SEK-SURV4,SURVEYS FOR SEWERS IN BROOKLYN,2166000,0,2166000
850,E12-0035,DOC -Manhattan Deten. GRVC and Otis Bantum Correc Fac EE,2166000,0,2166000
846,P-215MHBP,Manhattan Beach promenade,2164000,0,2164000
111,DOIT7PORT,DoITT NYC Business Portal,2163000,0,2163000
846,P-4CARSON,Kissena Pk Corridor - Silent Spring Playground,2162000,0,2162000
42,YC029-009,GREENHOUSE RENOVATION,2161000,0,2161000
42,CA091LG16,M Building Boiler Plant Replacement,2160000,0,2160000
72,C75QDRFW,"Inspections Replacement of Roofs,Exterior Facades,Windows",2158000,0,2158000
850,HH112HSFA,HELP SEC - FIRE SAFETY,2156000,0,2156000
819,29201603,KCHC: RECONSTRUCT SPACE TO CREATE A FAMILY JUSTICE CENTER,2154000,0,2154000
96,HR120RNG1,Re-engineering Hardware and Software,2146000,0,2146000
846,P-1TRE17A,"FY 17 Street Trees Bronx CB's 1-8, XG-",1774000,369000,2143000
858,ECTP6FCA2,ECTP FDNY Computer-Aided Dispatch (FDCAD) Workstations,2141000,0,2141000
846,P-6PDRFQX,Recon roofs at Parks facilities in BX & QNS CNYG - 315M,2140000,0,2140000
846,P-107KOSS,Kossuth Playground Recon (X033-,2140000,0,2140000
827,S216-412,Construction Management for Export Facilities,2139000,0,2139000
850,QEDA-001,Accelerated Distribution WM replcmnt & sewer rebhab - QNS,2139000,0,2139000
841,HWPLZ011M,Water Street - Whitehall Plaza,2138000,0,2138000
57,F204FORT4,FORT TOTTEN BUILDING #325 PHASE 2 RENOVATIONS,2134000,0,2134000
846,P-4BWIDEQ,QUEENS - COUNCIL & MAYORAL MULTI SITE,2134000,0,2134000
846,P-413BRO3,Brookville Park Entrance R/C,2132000,0,2132000
850,CO80ROOF2,27 MADISON AVE - ROOF & MISC. OPERATIONS SPACES UPGRADE,510000,1622000,2132000
801,S246-405,FA - SBMT Pier (SIMS Recycling),2127000,0,2127000
806,LINDSAY,LINDSAY PARK HOUSING CORP. (MITCHELL-LAMA),2125000,0,2125000
111,DOIT5BACL,DoITT NYC Business Phase 2 (Release 4),2124000,0,2124000
846,P-6PNYT09,PlaNYC - FY09 Tree Procurement (CNYG-1708MA),2123000,0,2123000
827,S136-264U,Brooklyn 12 Garage Roof Replacement,2119000,0,2119000
850,P1CROT16A,BRONX RIVER GRWAY RIVER HOUSE IN STARLIGHT PK X147-107M/,10000,2109000,2119000
850,BED-778A,TRUNK & DIST. W/M REPL IN ATALNTIC AV B/T Carlton & portland,2118000,0,2118000
126,PV175CLOV,SIZ - Staten Island Zoo Clove Road Restoration,2115000,0,2115000
858,DOIT7CYBR,DoITT Cyber Secruity Management and Operations Dashboard,2109000,0,2109000
801,HYDCBLVD,HYDC - MID-BLOCK BLVD AND CROSS STREETS-HUDSON YARD VICINI,9000,2097000,2106000
850,PWD9SHEMA,SHEMA KOLAINU,2100000,0,2100000
819,37201501,MHC: ESTABLISH A COMPREHENSIVE LBGT FAMILY HEALTH CENTER,2100000,0,2100000
826,PO-117-L,PURCHASE OF OEM REPLA POLYCHEM CHAINS & SLDG COLLECT EQUIPT,2100000,0,2100000
846,P-6PDPLEL,Recon electrical systems in poolS - Citywide CNYG - 815M,2100000,0,2100000
846,P-3SUTTON,ONE SUTTON PLACE PARK CONSTRUCTION (M108-111M),1349000,750000,2099000
850,AGDNMETRA,METROPOLITAN COUNCIL ON JEWISH POVERTY - INITIAL OUTFITTING,2097000,0,2097000
846,P-309MOR2,Morninside Pk- R/C of Plgr Phase 2 M056,2095000,0,2095000
856,ACEDOE601,DOE - FAN SYSTEMS UPGRADES,2090000,0,2090000
846,P-303MCKY,McKinley Playground renovation,2089000,0,2089000
846,P-409FPG3,FOREST PARK GREENHOUSES Q015-215M,2088000,0,2088000
850,SEQ002709,Combined Sewer Installation in 45th Avenue,2072000,7000,2079000
111,PO-114-L,"CAP PURCHASE OF GRP & MSP'S ETC., FOR VAR. WPCPS",2078000,0,2078000
850,SEQ002672,"Sani Swr & storm extens. springfileld blvd & 90 ave & 91 rd,",2077000,0,2077000
826,RH-80-L,TRC - DISINFECTION SYSTEM REHABILITATION AT RED HOOK W,2076000,0,2076000
801,SCHOOLSA,FA School Settlement Association - New Community Center,2076000,0,2076000
126,PV423ROOF,JM - Chiller and Roof Replacement,2075000,0,2075000
850,PW77DCA,245 MESEROLE ST. - DCA TEST STATION REHABILITATION,2075000,0,2075000
826,DECL-SE,Citywide emergency sewer reconstruction,2075000,0,2075000
846,P-6TDUCTS,Provide 4 Telephone Communication Ducts Citywide,2073000,0,2073000
850,SEQ200492,"Storm sewer extension and san. replacement @ 41st avenue,",2063000,9000,2072000
846,P-5PLG15B,R/C of parks & plgr in Staten Island RG-315M,2072000,0,2072000
850,PW195SW2,80 CENTRE ST. - SIDEWALK REHABILITATION,2070000,0,2070000
806,HAM16CRCC,CORSI HOUSES UPGRADES TO LAGUARDIA COMMUNITY CENTER,2068000,0,2068000
846,P-4RGROIN,Removal of timber groins - Rockaway Beach,2066000,0,2066000
846,P-215BBPG,BILL BROWN PLAYGROUND FLDHSE CMFT ST. FY'10 B109-112M,2060000,0,2060000
801,GMDCACQ2,FA - GMDC Construction,2050000,0,2050000
846,SANDY2-10,SANDY-North 5th Street pier work (Type 3) B536-113M,544000,1505000,2049000
850,MED-599,Trunk WM in W48 St from 10th Av to Bway,2048000,0,2048000
846,SANDY5-16,Conference House Pk landscape (Type 3 ) R006-114M,205000,1841000,2046000
846,P-111LRTO,Loreto Park - Recon Soccer field Asphalt to Turf (X163-,1044000,1000000,2044000
846,P-2GATEW7,Gateway Estates - Cleveland Park comf stat (B547 -214M ),2040000,0,2040000
846,P-4PNYT27,"PlaNYC FY17 Street Tree Queens CB 1-5; QG-",2040000,0,2040000
846,P-1CPIWPK,CPI PH2 - Walton Park Rcons. (X291-,2035000,0,2035000
846,SANDY2-33,Sandy - Midget Squadron Yacht Club,707000,1322000,2029000
801,MUSMAFRI,FA - Museum for African Art,2028000,0,2028000
846,P-4TRE17B,"FY17 Street Tree Queens 12,13,14 QG-",1896000,129000,2025000
56,PO79BMAHO,"HVAC REPLACEMENT FOR 20TH, 24TH AND 25TH PCTS",2024000,0,2024000
37,LNDMACOMB,MACOMB'S BRIDGE - New Branch,1897000,125000,2022000
841,GEHD-2013,HIGHWAY & PARK DISTRIBUTION FY14,1500000,520000,2020000
850,HL82HLLMC,Lutheran Medical Center,2017000,0,2017000
846,P-108SETN,Seton Park soccer & ball field X201-113M,970000,1047000,2017000
846,P-107SJHV,ST. JAMES PARK HVAC X044-113M,2017000,0,2017000
846,P-1PNYR07,PLANYC- BX PK CHANNEL RESTORATION X002-214M,2015000,0,2015000
68,CAS,Case Assignment System,2012000,0,2012000
35,L103RENO,RESEARCH LIBRARIES - Renovations,2010000,0,2010000
846,P-6PNYT23,PlaNYC - FY17 Street Tree SUPERVISION,2009000,0,2009000
856,PW77LYAFE,"253 BROADWAY - LPC MOVE TO 2nd, 11th , 12th, and 13th Fls",2009000,0,2009000
846,P-503CRBP,CONSTR OF CRESCENT BEACH PARK,2008000,0,2008000
826,SER002268,STORM & SAN SEWER IN BRIELLE AV B/T ROCKLAND AV & WALCOTT A,2006000,0,2006000
850,SANDHW01,Reconstruction of 2nd Avenue - Hurricane Sandy,382000,1624000,2006000
42,CA036-014,Hostos CC: Allied Health and Sciences Building,2003000,0,2003000
819,SAND2601,CIH: RELOCATE OUTPATIENT RADIOLOGIC IMAGING SERVICES,2000,2000000,2002000
42,CA205-006,NIT Info Sys & Admin Apps,2001000,0,2001000
826,3WTCONECT,"3rd Water Tunnel Connections, Citywide",2000000,0,2000000
850,SENCWSRV1,SURVEYS FOR SEWERS IN MANHATTAN AND CITYWIDE,2000000,0,2000000
826,SANDSEWER,RECONSTRUCTION OF SEWERS CITYWIDE DUE TO HURRICANE SANDY,200000,1800000,2000000
850,BC-10HW3,Standard boring contract highways,2000000,0,2000000
850,BC-10AAA,SERVICE CONTRACT FOR BORINGS,2000000,0,2000000
850,PW335NEED,New Need 2011 Jan Plan,2000000,0,2000000
846,P-2GATEW6,Gateway Estates -Cleveland Pk playground (B547- 114M),2000000,0,2000000
850,PWD99WNY1,CENTER FOR THE WOMEN OF NEW YORK,2000000,0,2000000
826,PN-HYDRO,"REPLACEMENT OF RELEASE VALVES PEPACTON, NEVERSINK",2000000,0,2000000
801,OHELFAM2,Ohel Children's Home and Family Services - 116078704-B1443,2000000,0,2000000
806,PROMWEST,Promesa - 915 Westchester Avenue,2000000,0,2000000
846,P-5FRESH5,Fresh Kills - South Park(pathways & ballfields) R017-409M,2000000,0,2000000
850,GKNC15-01,GI - Green Infrastructure in Newtown Creek Area-Phase1,2000000,0,2000000
850,PW335ES20,ENVIRONMENTAL PROFESSIONAL SERVICE CONTRACT #20,2000000,0,2000000
850,PWD9WILL,UNITED JEWISH ORGANIZATIONS OF WILLIAMSBURG,2000000,0,2000000
801,GOVISGNTR,Governors Island Back-Up Power,2000000,0,2000000
806,SHNYCHA16,"SMALL HOMES RECONSTRUCTION PROGRAM, CITYWIDE",2000000,0,2000000
806,NDRAPER,"DRAPER HALL - 1918 FIRST AVENUE, MANHATTAN",2000000,0,2000000
841,TD19-9504,COOP initiative to provide virtual desktops,2000000,0,2000000
850,ENGINSP7,ENGINEERING INSPECTION REQ CONTRACT #7,2000000,0,2000000
850,PWKBEFORD,BEDFORD ATLANTIC ARMORY - NENOVATIONS BEDFORD ATLANTIC ARMO,2000000,0,2000000
42,QC066-017,Digital Film Center Construction,2000000,0,2000000
846,P-401WFF1,WHITEY FORD FIELD: RECONSTRUCTION OF BASEBALL FIELD,2000000,0,2000000
801,BUSHTPARK,Bush Terminal Park,2000000,0,2000000
850,BC-10HW6,Standard boring contract highways,2000000,0,2000000
826,PW-OPS2,"UPGRADE OPERATING SYSTEM AT BB, HP, AND PAERDEGAT FACILITIE",2000000,0,2000000
71,HH112FWBO,FT. WASHINGTON ARMORY - BOILER UPGRADE,2000000,0,2000000
826,HDWR17K,Upgrade & replace BK manholes to meet rev. DEP standrad,2000000,0,2000000
826,JPSGARA,NEW GARAGE AT JEROME PS,2000000,0,2000000
841,HWK00502,8th Avenue Sunset Park Chinatown Archway,2000000,0,2000000
42,YC056-018,Renovation of the Performing Arts Center,2000000,0,2000000
850,BC-10HW4,Standard boring contract highways,2000000,0,2000000
850,SEKCWSRV1,SURVEYS FOR SEWERS IN BROOKLYN,2000000,0,2000000
850,PW335A28,ASBESTOS ABATEMENT CONTRACT,2000000,0,2000000
826,PO-SKIM,CAPITAL PURCHASE FOR A NEW SKIMMER VESSEL,2000000,0,2000000
801,MCTROOF,Manhattan Cruise Terminal Roof and Viaduct Traffic Topping,2000000,0,2000000
39,LQCELHVAC,CENTRAL LIBRARY BMS/COOLING TOWER,2000000,0,2000000
801,W125THST,West 125th Street Garage,0,2000000,2000000
806,NATLANTIC,RBSC Atlantic East,2000000,0,2000000
846,P-405STRR,Starr Playground Upgrades,2000000,0,2000000
126,PV467JCM6,JCM - Jewish Children's Museum - Phase 6,2000000,0,2000000
801,EASTPLAZA,East River Plaza,2000000,0,2000000
850,SERCWSRV1,Requirement Contract for Surveying Services in the SI/cw,2000000,0,2000000
806,BXSHEPJER,BRONX SHEPHERDS,2000000,0,2000000
42,ME034-014,Gym Floor and Bleachers,2000000,0,2000000
841,TD19-9917,Data & Web Accessibility Systems,2000000,0,2000000
806,ROBIN,BISHOP WILLIAM JAMES ROBINSON APARTMENTS,2000000,0,2000000
826,NCA24,REHABILITATION OF NEW CROTON AQUEDUCT SHAFTS 24 & 25,2000000,0,2000000
846,SANDY6-20,Sandy Tree Planting and Replanting - BK & SI,200000,1800000,2000000
826,PS-173,RECONST OF NEW DOUGLASTON PUMPING STATION,2000000,0,2000000
850,PW335A27,ASBESTOS ABATEMENT CONTRACT,2000000,0,2000000
42,QC069-018,Library Phase III Upgrade,2000000,0,2000000
42,QC062-016,Environmental Labs Renovation,2000000,0,2000000
72,C75-F&ECR,F & E PURCHASE,2000000,0,2000000
806,TREE,Tree of Life,2000000,0,2000000
42,HS033-007,Natural Science Lab Renovation,2000000,0,2000000
806,R1199HC,1199 Housing Corporation Rehabilitation,2000000,0,2000000
850,BC-10HW5,Standard boring contract highways,2000000,0,2000000
42,YC055-017,Digital Convergence Center,2000000,0,2000000
850,BC-10HW1,Standard boring contract highways,2000000,0,2000000
801,PIERS35N6,Pier 35 & 36 Substructure Rehabilitation,2000000,0,2000000
841,HWK00503,BQ Green,2000000,0,2000000
826,SEQNS-FLD,Design Svcs: SE QUEENS FLOOD MITIGATION PGM,2000000,0,2000000
826,CRO-410,NEW CROTON LAKE GATE HOUSE HVAC REHABILITATION,2000000,0,2000000
850,PW335ES19,ENVIRONMENTAL PROFESSIONAL SERVICE CONTRACT #19,2000000,0,2000000
806,HAM17GHSE,MARLBOROUGH HOUSES BSCAH GREENHOUSE,2000000,0,2000000
806,HAM16GRCG,GRAVESEND HOUSES CONSTRUCTION OF A GREENHOUSE,2000000,0,2000000
850,ENGINSP6,ENGINEERING INSPECTION REQ CONTRACT #6,2000000,0,2000000
850,BC-10HW2,Standard boring contract highways,2000000,0,2000000
856,PWRNCMEAL,Citymeals on Wheels in Seaview Hospital Campus: Construct S,2000000,0,2000000
826,SER200236,"STRM SWR EXT & WM WORK IN NORTH AV, ETC.",1998000,0,1998000
856,PW326MT02,ECTP EQUIPMENT FOR DOITT,1996000,0,1996000
856,CO79APL5,OCA - 230 PARK AVENUE - JUDGE'S CHAMBERS,0,1995000,1995000
71,HH105FWCC,FORT WASHINGTON CCTV,1990000,0,1990000
827,S136-383T,REPLACEMENT OF HVAC ROOF TOP UNITS CITYWIDE,1990000,0,1990000
846,P-414TRB2,Tribute Park,1988000,0,1988000
841,SGTCCTVUP,SGT CCTV & Related Security Equipment,497000,1489000,1986000
846,P-4OLMST3,OLMSTED CTR FURNITURE Q099-808MA1,1986000,0,1986000
841,FABLDG45R,Building 45 Rehabilitation,1985000,0,1985000
